"If high school wasn't obligatory, I would stop going there.","If school was **optional**, I would stop going there.",entailment,neutral
"A good tree can't bear bad tropical fruits.","A **bad** tree can't bear bad fruits.",neutral,neutral
"**Many** aliens played with any toy cars.","Few aliens played with toys.",contradiction,neutral
"Petrol is no longer an **expensive** fuel.","Petrol is no longer a cheap entity.",contradiction,entailment
"This isn't a good sign of being healthy.","This isn't a **bad** sign.",neutral,neutral
"He is no ordinary undergraduate student.","He is no **extraordinary** student.",neutral,neutral
"Extraordinary things never happen in simple and **extraordinary** ways.","Extraordinary things never happen in simple and ordinary normal ways.",contradiction,entailment
"**Few** aliens ate at some restaurants.","Many aliens ate at Mexican restaurants.",contradiction,neutral
"Every unmarried grown man is a groom for life.","Every **married** man is a groom for life.",neutral,neutral
"I didn't understand that last sentence.","I didn't understand that **first** sentence you wrote.",neutral,entailment
"Tom isn't a **good** coach.","Tom isn't a bad coach for his team players.",contradiction,entailment
"Some of my **worst** friends are cops and lawyers.","Some of my best friends are cops.",neutral,entailment
"I don't like **light** makeup on a young girl.","I don't like heavy makeup on a young lassie.",neutral,entailment
"At **most** five dots are red.","At least five dots are scarlet.",contradiction,neutral
"Every alien who did not watch some baseball matches is hairy.","Every alien who did not watch sports matches is **hairless**.",contradiction,entailment
"Picasso was no clown, and he was a sarcastic commentator on a confused age, a great archivist of humanity's foolishness.","Picasso was no jester, and he was a sarcastic commentator on a **clearheaded** age, a great archivist of humanity's foolishness.",contradiction,entailment
"Very few of the children chose any mint chocolates or decided on the cotton candy.","Very **many** of the children decided on the cotton candy.",contradiction,entailment
"Every sentence in that book is important.","Every sentence in that syllabus book is **unimportant**.",neutral,neutral
"**Less** than half of the tenors are sick.","More than half of the tenors have the flu.",contradiction,neutral
"Tom has never had a good job.","Tom has never had a **bad** job that he liked.",neutral,entailment
"**Few** aliens bought clothes.","Many aliens bought shirts.",contradiction,neutral
"He believed that blacks could win their fight for equal rights without violence.","He believed that blacks could win their fight for **unequal** rights without generalized violence.",neutral,entailment
"I'm an **abnormal** girl.","I'm a normal virgin.",neutral,neutral
"No **more** than fifty children chose mint chocolates or decided on the cotton candy.","No less than fifty children decided on the cotton candy.",neutral,neutral
"Many children chose mint chocolates or decided on the cotton candy.","**Few** children decided on the cotton candy.",neutral,neutral
"I won't play second fiddle for anyone.","I won't play **first** strange fiddle for anyone.",neutral,entailment
"Rudolf has built a **small** house.","Rudolf bush has built a large house.",neutral,neutral
"**More** than five children chose mint chocolates or decided on the cotton candy.","Less than five children decided on the cotton candy.",neutral,entailment
"I didn't say a **common** word.","I didn't say a single famous word.",neutral,entailment
"I was in the hospital for **many** hard days.","I was in the hospital for a few days.",contradiction,entailment
"**Less** than half of the tenors have the flu.","More than half of the tenors are sick.",neutral,entailment
"**Many** aliens threw any balls.","Few aliens threw any tennis balls.",neutral,entailment
"Not many of the campers have caught a cold.","**Few** of the campers have had a sunburn or caught a cold.",neutral,neutral
"I have a **bad** appetite for Italian food.","I don't have a good appetite.",neutral,neutral
"A **sighted** man should play cards.","A blind man shouldn't play cards without help.",neutral,entailment
"Every student has free access to the library.","Every high school student has **restricted** access to the library.",contradiction,entailment
"Petrol is no longer a cheap fuel.","Petrol is now an **expensive** available fuel.",entailment,entailment
"I'm a **abnormal** beautiful girl.","I'm a normal girl.",contradiction,entailment
"I think that **fewest** young people prefer to listen to rock music from 60s.","I think that most young people prefer to listen to rock music.",neutral,entailment
"A cold bath refreshed him.","A **hot** pool refreshed him.",contradiction,neutral
"Tom has never eaten **cooked** horse meat.","Tom has never eaten raw horse meat yet.",neutral,entailment
"Many aliens used some quarters.","**Few** aliens used coins.",contradiction,entailment
"You don't have to go to an Ivy League educational institution to get a good education.","You don't have to go to an Ivy League college to get a **bad** education.",neutral,entailment
"Tom really leads no easy life.","Tom really leads no **difficult** free life.",contradiction,entailment
"I bought a new pair of glasses.","I bought an **old** pair of red glasses.",contradiction,neutral
"Many people in Fiji don't have access to clean drinking water.","**Few** people in Fiji have simple access to clean drinking water.",entailment,entailment
"Dogs have all the good qualities of people **while** at the same time possessing their weaknesses.","Dogs and all pets have all the good qualities of people without at the same time possessing their weaknesses.",contradiction,neutral
"At least five dots are scarlet.","At **most** five dots are red.",contradiction,entailment
"Tom has never eaten raw adult horse meat.","Tom has already eaten **cooked** horse meat.",neutral,neutral
"I could never afford a house as nice as that.","I could afford a big house as **nasty** as that.",neutral,entailment
"**More** than five children decided on the cotton candy.","Less than five children chose any mint chocolates or decided on the cotton candy.",contradiction,neutral
"**Many** linguists entered the race early.","Few linguists entered the race.",contradiction,neutral
"This story doesn't have a **unhappy** ending.","This story doesn't have a happy ending for the reader.",contradiction,entailment
"Every unmarried man from my town is a groom for life.","Every **married** man is a groom for life.",neutral,neutral
"Tom is a bad coach.","Tom isn't a **good** football coach.",entailment,entailment
"**Few** people in Fiji don't have access to clean drinking water.","Many people in Fiji don't have access to clean drinking water on foot at all.",contradiction,entailment
"**Few** delegates obtained interesting results from the survey.","Many delegates obtained results from the survey.",neutral,entailment
"I want to miss **unhappy** hour.","I don't want to miss happy hour tomorrow.",neutral,entailment
"All hegelians are **immortal**.","All philosophers are mortal.",contradiction,neutral
"Not many of the children chose mint chocolates or decided on the cotton candy.","**Few** of the children decided on the cotton candy.",entailment,entailment
"Go to extremes, to be **immoderate** is important in anything.","Don't go to silly extremes, to be moderate is important in anything.",contradiction,entailment
"Many aliens played with some toys.","**Few** aliens played with toy cars.",neutral,neutral
"A trivial problem doesn't require long contemplation.","A trivial problem requires only **short** time.",entailment,entailment
"Tom has an **unsteady** favorite girlfriend.","Tom doesn't have a steady girlfriend.",neutral,neutral
"The park is **idle** every season.","The park is busy every tourist season.",contradiction,entailment
"Expectedly, I felt a sharp pain in my stomach.","All of a sudden, i felt a sharp constant pain in my stomach.",contradiction,neutral
"Tom is facing **many** serious problems to face exams.","Tom is facing a few serious problems.",contradiction,entailment
"None of the sopranos sang with fewer than three of the male singers.","None of the sopranos sang with **more** than three of the tenors.",contradiction,neutral
"He was watchful for any sign of diabetes.","He was **unalert** for any sign of worsen.",contradiction,neutral
"She slept for a few hours.","She slept for **many** dreamless hours.",contradiction,neutral
"Every alien who did not drink some coke is **hairless**.","Every alien who did not drink soda is hairy.",contradiction,entailment
"I dig **nonmodern** and contemporary jazz.","I don't dig modern jazz.",neutral,neutral
"Cruz has frequently derided as amnesty any bill that confers legal status or citizenship on people living in the country illegally.","Cruz has frequently derided as amnesty any plan that confers **illegal** status or citizenship on people living in the country illegally.",neutral,neutral
"All Tom wanted was a **nasty** hot and relaxing bath.","All Tom wanted was a nice hot bath.",contradiction,entailment
"At **most** half children chose mint chocolates or decided on the cotton candy.","At least half children decided on the cotton candy.",contradiction,neutral
"I'm not a little girl anymore.","I'm a **grown** girl now.",entailment,entailment
"Excitement isn't good for a man of my age.","Frightful excitement is **bad** for a man of my age.",entailment,neutral
"Tom really leads no easy life.","Tom really leads a **difficult** life all those years.",entailment,entailment
"If i were a foreigner, i probably couldn't eat **cooked** fish.","If i were a foreigner, i probably couldn't eat raw fish from the sea.",neutral,entailment
"The first pleasurable experience I had interacting with another **nonhuman** being was at the age of seventeen.","The first displeasurable experience I had interacting with another human being was at the age of seventeen.",neutral,neutral
"The word came to be used for all **large** heavenly bodies revolving about larger ones.","The word came to be used for all small heavenly artificial bodies revolving about larger ones.",neutral,entailment
"There is no scientific basis for these claims.","There is an **unscientific** basis from you for these claims.",neutral,entailment
"The park is **idle** every tourist season.","The park is busy every season.",contradiction,neutral
"John inherited a **small** fortune.","John inherited a large house.",contradiction,neutral
"**Few** aliens ate at Mexican restaurants.","Many aliens ate at restaurants.",neutral,entailment
"**Ordinary** things never happen in simple and ordinary habitual ways.","Extraordinary things never happen in simple and ordinary ways.",neutral,neutral
"Several delegates got the results published in major national newspapers.","Several Portuguese delegates got the results published in **minor** national newspapers.",neutral,neutral
"If I were a foreigner, I probably couldn't eat **cooked** fish.","If i were a tourist, i probably couldn't eat raw fish.",neutral,entailment
"Tom has never eaten **cooked** horse meat.","Tom has never eaten raw American horse meat.",neutral,entailment
"The word came to be used for all small heavenly dusty bodies revolving about larger ones.","The word came to be used for all small heavenly bodies revolving about **smaller** ones.",neutral,neutral
"At **most** one man sang.","At least one man sang and danced.",neutral,neutral
"I don't care **little** for coffee.","I don't care much for hot coffee.",contradiction,entailment
"**More** than five of campers have ever had a sunburn or caught a cold.","Less than five of campers have caught a cold.",neutral,entailment
"John inherited a large fortune.","John inherited a **small** fortune and beauty jewerly.",contradiction,neutral
"Many aliens bought clothes.","**Few** aliens bought shirts.",neutral,neutral
