Mickey is a small animal.,Mickey is a large animal.,contradiction
Dumbo is a large animal.,Dumbo is a small animal.,contradiction
Fido is not a small animal.,Fido is a large animal.,neutral
Fido is not a large animal.,Fido is a small animal.,neutral
Mickey is a small animal. Dumbo is a large animal.,Mickey is smaller than Dumbo.,entailment
Mickey is a small animal. Dumbo is a large animal.,Mickey is larger than Dumbo.,contradiction
"If high school wasn't obligatory, I would stop going there.","If school was optional, I would stop going there.",entailment
"A good tree can't bear bad tropical fruits.","A bad tree can't bear bad fruits.",neutral
"Many aliens played with any toy cars.","Few aliens played with toys.",contradiction
"Petrol is no longer an expensive fuel.","Petrol is no longer a cheap entity.",contradiction
"This isn't a good sign of being healthy.","This isn't a bad sign.",neutral
"He is no ordinary undergraduate student.","He is no extraordinary student.",neutral
"Extraordinary things never happen in simple and extraordinary ways.","Extraordinary things never happen in simple and ordinary normal ways.",contradiction
"Few aliens ate at some restaurants.","Many aliens ate at Mexican restaurants.",contradiction
"Every unmarried grown man is a groom for life.","Every married man is a groom for life.",neutral
"I didn't understand that last sentence.","I didn't understand that first sentence you wrote.",neutral
"Tom isn't a good coach.","Tom isn't a bad coach for his team players.",contradiction
"Some of my worst friends are cops and lawyers.","Some of my best friends are cops.",neutral
"I don't like light makeup on a young girl.","I don't like heavy makeup on a young lassie.",neutral
"At most five dots are red.","At least five dots are scarlet.",neutral
"Every alien who did not watch some baseball matches is hairy.","Every alien who did not watch sports matches is hairless.",contradiction
"Picasso was no clown, and he was a sarcastic commentator on a confused age, a great archivist of humanity's foolishness.","Picasso was no jester, and he was a sarcastic commentator on a clearheaded age, a great archivist of humanity's foolishness.",contradiction
"Very few of the children chose any mint chocolates or decided on the cotton candy.","Very many of the children decided on the cotton candy.",contradiction
"Every sentence in that book is important.","Every sentence in that syllabus book is unimportant.",neutral
"Less than half of the tenors are sick.","More than half of the tenors have the flu.",contradiction
"Tom has never had a good job.","Tom has never had a bad job that he liked.",neutral
"Few aliens bought clothes.","Many aliens bought shirts.",contradiction
"He believed that blacks could win their fight for equal rights without violence.","He believed that blacks could win their fight for unequal rights without generalized violence.",neutral
"I'm an abnormal girl.","I'm a normal virgin.",neutral
"No more than fifty children chose mint chocolates or decided on the cotton candy.","No less than fifty children decided on the cotton candy.",neutral
"Many children chose mint chocolates or decided on the cotton candy.","Few children decided on the cotton candy.",neutral
"I won't play second fiddle for anyone.","I won't play first strange fiddle for anyone.",neutral
"Rudolf has built a small house.","Rudolf bush has built a large house.",neutral
"More than five children chose mint chocolates or decided on the cotton candy.","Less than five children decided on the cotton candy.",neutral
"I didn't say a common word.","I didn't say a single famous word.",neutral
"I was in the hospital for many hard days.","I was in the hospital for a few days.",contradiction
"Less than half of the tenors have the flu.","More than half of the tenors are sick.",neutral
"Many aliens threw any balls.","Few aliens threw any tennis balls.",neutral
"Not many of the campers have caught a cold.","Few of the campers have had a sunburn or caught a cold.",neutral
"I have a bad appetite for Italian food.","I don't have a good appetite.",neutral
"A sighted man should play cards.","A blind man shouldn't play cards without help.",neutral
"Every student has free access to the library.","Every high school student has restricted access to the library.",contradiction
"Petrol is no longer a cheap fuel.","Petrol is now an expensive available fuel.",entailment
"I'm a abnormal beautiful girl.","I'm a normal girl.",contradiction
"I think that fewest young people prefer to listen to rock music from 60s.","I think that most young people prefer to listen to rock music.",neutral
"A cold bath refreshed him.","A hot pool refreshed him.",contradiction
"Tom has never eaten cooked horse meat.","Tom has never eaten raw horse meat yet.",neutral
"Many aliens used some quarters.","Few aliens used coins.",contradiction
"You don't have to go to an Ivy League educational institution to get a good education.","You don't have to go to an Ivy League college to get a bad education.",neutral
"Tom really leads no easy life.","Tom really leads no difficult free life.",contradiction
"I bought a new pair of glasses.","I bought an old pair of red glasses.",contradiction
"Many people in Fiji don't have access to clean drinking water.","Few people in Fiji have simple access to clean drinking water.",entailment
